Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,18,Male,14,Partnered,5,5,80000,153
TM195,19,Male,15,Single,2,3,31836,75
TM195,19,Female,14,Partnered,4,3,36007,66
TM195,19,Male,12,Single,3,3,50089,85
TM195,20,Male,13,Partnered,4,2,35247,38
TM195,20,Female,14,Partnered,3,3,32973,66
TM195,21,Female,14,Partnered,3,3,35247,75
TM195,21,Male,13,Single,3,3,32973,85
TM195,21,Male,15,Single,5,4,69853,141
TM195,21,Female,15,Partnered,2,3,37521,85
TM195,22,Male,14,Single,4,4,77010,160
TM195,22,Female,14,Partnered,3,2,35247,56
TM195,22,Female,16,Single,4,3,75402,150
TM195,22,Female,14,Single,3,3,35247,75
TM195,23,Male,16,Partnered,3,1,28000,47
TM195,23,Male,16,Partnered,3,3,40932,75
TM195,23,Female,14,Single,4,3,85412,180
TM195,23,Male,16,Partnered,4,3,39795,94
TM195,23,Female,16,Single,4,3,84590,178
TM195,23,Female,15,Partnered,2,2,29865,38
TM195,23,Male,14,Single,4,3,38658,113
TM195,23,Male,16,Single,4,3,40932,94
TM195,24,Female,16,Single,4,3,42069,94
TM195,24,Female,16,Partnered,5,5,84597,188
TM195,24,Male,14,Single,2,3,45480,113
TM195,24,Male,13,Partnered,3,2,42069,60
TM195,24,Female,16,Single,4,3,46617,75
TM195,25,Female,14,Partnered,3,3,48891,75
TM195,25,Male,14,Partnered,2,3,45480,65
TM195,25,Female,14,Partnered,2,2,27000,47
TM195,25,Female,14,Partnered,3,3,39795,85
TM195,25,Male,16,Single,3,4,40932,113
TM195,25,Female,16,Partnered,2,2,40932,80
TM195,25,Male,16,Single,3,3,43206,85
TM195,26,Female,14,Partnered,3,4,44343,113
TM195,26,Female,16,Partnered,4,3,52302,113
TM195,26,Male,16,Partnered,2,2,53439,69
TM195,26,Male,16,Partnered,3,3,51165,85
TM195,26,Female,16,Single,3,3,36384,66
TM195,26,Male,16,Partnered,4,4,44343,132
TM195,26,Male,16,Single,3,3,50028,85
TM195,27,Female,14,Partnered,3,2,45480,66
TM195,27,Male,16,Single,4,3,54576,85
TM195,27,Female,14,Partnered,2,3,45480,56
TM195,28,Female,14,Partnered,2,3,46617,56
TM195,28,Female,16,Partnered,2,3,52302,66
TM195,28,Male,14,Single,3,3,52302,103
TM195,28,Female,14,Partnered,3,3,89785,235
TM195,28,Male,14,Single,4,3,54576,113
TM195,28,Female,16,Partnered,3,3,51165,56
TM195,29,Male,18,Partnered,3,3,68220,85
TM195,29,Female,14,Partnered,2,2,46617,50
